Time_s,ReferenceSignal,UncompensatedResponse,CompensatedResponse,UncompensatedControl,CompensatedControl
0.958,-0.117608246824423,-0.120475247818872,-0.098227646285827,0.0014335004972244,-0.013672797584448
0.959,-0.128668805581425,-0.120654920866511,-0.10813770163808,-0.00400694235745669,-0.0200630761969675
0.96,-0.125091625246284,-0.123804372209664,-0.106553078313674,-0.00064362651831007,-0.0107535747386848
0.961,-0.126976600973041,-0.112940278273703,-0.0997279178479868,-0.00701816134966937,-0.0134340778248762
0.962,-0.12491212753274,-0.123091783719765,-0.104550475638699,-0.000910171906487567,-0.0162349160365664
0.963,-0.11851174355806,-0.111167541476637,-0.110478027128873,-0.00367210104071162,-0.009039973360885
0.964,-0.0940181459630125,-0.1087609555034,-0.104632926973859,0.00737140477019392,0.0101810096339429
0.965,-0.12023832612798,-0.0988444303148811,-0.107023321159294,-0.0106969479065494,-0.0111211116530484
0.966,-0.107280488997523,-0.102945725549198,-0.111392615780642,-0.00216738172416261,-0.000706095491642132
0.967,-0.0975074578898866,-0.11948680208635,-0.0990057999929615,0.0109896720982317,0.00896812128880641
0.968,-0.113798490310684,-0.105011050476595,-0.102767365340964,-0.00439371991704421,-0.00984107862443784
0.969,-0.0968523308769713,-0.0960033591027244,-0.104860837412731,-0.000424485887123495,0.00421280114738652
0.97,-0.0813363580888693,-0.0998027903935116,-0.113366246743639,0.00923321615232118,0.0156033876996859
0.971,-0.0833013110494262,-0.106114343600918,-0.124367298176889,0.0114065162757457,0.0202441817808388
0.972,-0.0793688795848105,-0.0964720351465541,-0.115085431218655,0.00855157778087183,0.0295870139844139
0.973,-0.0776608961727367,-0.0989668803035486,-0.10819872708137,0.0106529920654059,0.024252767161731
0.974,-0.09696519407096,-0.0887243537403617,-0.101541079882616,-0.00412042016529916,0.00606812186168662
0.975,-0.0619689062951713,-0.090208810126437,-0.100724250423804,0.0141199519156328,0.0258660914229695
0.976,-0.0860482020673522,-0.0814367949377233,-0.0957086633224743,-0.00230570356481448,0.00943394915500727
0.977,-0.0628487277463094,-0.0712885371675728,-0.0997545449241811,0.00421990471063172,0.02130794208771
0.978,-0.0715637192471875,-0.0780184482828266,-0.106771247699172,0.00322736451781953,0.0173078781570935
0.979,-0.0505072448435521,-0.0878027934703108,-0.12041297035273,0.0186477743133794,0.0371521913062085
0.98,-0.0548847457454692,-0.0998143133313338,-0.107517236837597,0.0224647837929323,0.0425564122257579
0.981,-0.0469789639766022,-0.0954944774623019,-0.0931937540501648,0.0242577567428499,0.0396750467829035
0.982,-0.0651313184152264,-0.0999669055971805,-0.0944300844844478,0.0174177935909771,0.0176094535582263
0.983,-0.0540890826055905,-0.0914924873100264,-0.0849255555642072,0.018701702352218,0.0256809717001504
0.984,-0.047343522641672,-0.0845471301793158,-0.0847741858534997,0.0186018037688219,0.0227802892888995
0.985,-0.0372137557308442,-0.0890387144013743,-0.0661555066833578,0.0259124793352651,0.0311974803405209
0.986,-0.0524889028144173,-0.100259695512526,-0.0735684258548712,0.0238853963490542,0.00739772163230591
0.987,-0.0301185373148846,-0.102560329760607,-0.0712688487630484,0.0362208962228611,0.0273495155855024
0.988,-0.0203107318446058,-0.0965470657788432,-0.0562551161321525,0.0381181669671187,0.0339425276771851
0.989,-0.0422841614313482,-0.104375648133899,-0.0434198794609119,0.0310457433512752,0.00761286422326106
0.99,-0.0213526782420185,-0.0924458982999792,-0.0376567350820446,0.0355466100289803,0.0129470479154059
0.991,-0.0278103074062638,-0.0960156380969552,-0.0265062244512134,0.0341026653453457,0.00427463856848186
0.992,-0.0266415783632604,-0.103018524835382,-0.0337760494994976,0.0381884732360606,-0.00296503619450426
0.993,-0.0263221438838888,-0.0943879749922017,-0.0375128783777573,0.0340329155541564,0.00246130087285698
0.994,-0.0156093722610213,-0.0976308147635878,-0.031472799642229,0.0410107212512833,0.0136692086913273
0.995,-0.012667061151646,-0.0837669955775422,-0.0151485423669952,0.0355499672129481,0.0103766500300544
0.996,-0.0167801249498461,-0.0738310416653949,-0.0106671985584416,0.0285254583577744,-0.0022816585706754
0.997,-0.00545630518810188,-0.0773777669653028,-0.0117976365915708,0.0359607308886004,0.00186264208765344
0.998,-0.000564679285205792,-0.0720688047866538,-0.0190052217317353,0.035752062750724,0.00630822145211261
0.999,0.00420189610525149,-0.0782990396381426,-0.0137447538719865,0.041250467871697,0.0131191107403616
1,-0.0157836640678813,-0.0755288240528851,-0.0218367550438529,0.0298725799925019,-0.0047389660109637
1.001,0.00921731644528687,-0.0745649175943895,-0.0106028764747008,0.0418911170198382,0.0183480906139743
1.002,0.00457595774962636,-0.0668557211136871,-0.0243644739431122,0.0357158394316567,0.00909015420672536
1.003,0.00397219882732133,-0.0628087677195816,-0.0268582395647387,0.0333904832734515,0.0172988359582991
1.004,-0.000502056841639259,-0.0613979448577922,-0.0199189768635772,0.0304479440080765,0.0160232974983946
1.005,0.0149540064073261,-0.0495763199986273,-0.0022395209969806,0.0322651632029767,0.0216535713818876
1.006,0.0286952552254596,-0.0465054193976042,0.0040940606397738,0.0376003373115319,0.0210836720529448
