Time_s,TrueFriction,EstimatedFriction,RelativeErrorPercent
13,0.12,0.114984225893092,4.17981175575648
13.1,0.12,0.114984226498297,4.17981125141887
13.2,0.12,0.1149842262944,4.1798114213333
13.3,0.12,0.114984225445051,4.1798121291242
13.4,0.12,0.114984224107865,4.17981324344592
13.5,0.12,0.114984222429446,4.17981464212872
13.6,0.12,0.114984220541818,4.17981621515204
13.7,0.12,0.114984218560108,4.17981786657651
13.8,0.12,0.114984216581308,4.17981951557694
13.9,0.12,0.114984214683939,4.1798210967175
14,0.12,0.114984212928475,4.17982255960449
14.1,0.12,0.114984211358345,4.17982386804607
14.2,0.12,0.114984210001398,4.17982499883458
14.3,0.12,0.114984208871696,4.17982594025339
14.4,0.12,0.114984207971512,4.17982669040637
14.5,0.12,0.114984207293443,4.17982725546405
14.6,0.12,0.114984206822507,4.17982764791047
14.7,0.12,0.11498420653817,4.17982788485874
14.8,0.12,0.114984206416217,4.17982798648624
14.9,0.12,0.114984206430444,4.17982797463002
15,0.12,0.114984206554114,4.17982787157131
15.1,0.12,0.114984206761167,4.17982769902769
15.2,0.12,0.114984207027165,4.17982747736265
15.3,0.12,0.114984207329991,4.17982722500714
15.4,0.12,0.114984207650308,4.17982695807662
15.5,0.12,0.114984207971806,4.17982669016127
15.6,0.12,0.114984208281284,4.17982643226298
15.7,0.12,0.114984208568578,4.17982619285204
15.8,0.12,0.11498420882638,4.17982597801655
15.9,0.12,0.114984209049984,4.1798257916797
16,0.12,0.114984209236966,4.17982563586196
16.1,0.12,0.114984209386838,4.17982551096861
16.2,0.12,0.114984209500697,4.17982541608584
16.3,0.12,0.114984209580874,4.1798253492718
16.4,0.12,0.114984209630602,4.17982530783204
16.5,0.12,0.114984209653714,4.17982528857158
16.6,0.12,0.114984209654378,4.17982528801821
16.7,0.12,0.114984209636863,4.17982530261396
16.8,0.12,0.114984209605352,4.17982532887331
16.9,0.12,0.11498420956379,4.17982536350852
17,0.12,0.114984209515772,4.1798254035233
17.1,0.12,0.114984209464467,4.1798254462772
17.2,0.12,0.114984209412571,4.17982548952379
17.3,0.12,0.114984209362289,4.17982553142586
17.4,0.12,0.114984209315338,4.17982557055145
17.5,0.12,0.114984209272975,4.17982560585433
17.6,0.12,0.114984209236029,4.17982563664272
17.7,0.12,0.114984209204953,4.17982566253958
17.8,0.12,0.114984209179875,4.17982568343773
17.9,0.12,0.114984209160657,4.17982569945256
18,0.12,0.11498420914695,4.17982571087469
18.1,0.12,0.114984209138251,4.17982571812455
18.2,0.12,0.114984209133948,4.1798257217104
18.3,0.12,0.114984209133371,4.17982572219089
18.4,0.12,0.114984209135829,4.17982572014265
18.5,0.12,0.11498420914064,4.1798257161336
18.6,0.12,0.114984209147158,4.17982571070163
18.7,0.12,0.114984209154794,4.17982570433865
18.8,0.12,0.114984209163024,4.17982569747964
18.9,0.12,0.114984209171405,4.17982569049601
19,0.12,0.114984209179568,4.17982568369292
19.1,0.12,0.114984209187228,4.17982567730971
19.2,0.12,0.114984209194173,4.17982567152289
19.3,0.12,0.114984209200259,4.17982566645114
19.4,0.12,0.114984209205406,4.1798256621616
19.5,0.12,0.114984209209587,4.1798256586771
19.6,0.12,0.11498420921282,4.17982565598366
19.7,0.12,0.114984209215154,4.17982565403817
19.8,0.12,0.114984209216669,4.17982565277566
19.9,0.12,0.114984209217461,4.17982565211612
20,0.12,0.114984209217635,4.17982565197057
20.1,0.12,0.114984209217304,4.17982565224636
20.2,0.12,0.114984209216578,4.17982565285166
20.3,0.12,0.114984209215561,4.17982565369889
20.4,0.12,0.114984209214351,4.17982565470757
20.5,0.12,0.114984209213033,4.17982565580606
20.6,0.12,0.114984209211681,4.17982565693288
20.7,0.12,0.114984209210355,4.17982565803718
20.8,0.12,0.114984209209105,4.17982565907876
20.9,0.12,0.114984209207967,4.17982566002766
21,0.12,0.114984209206964,4.17982566086341
21.1,0.12,0.114984209206111,4.17982566157402
21.2,0.12,0.114984209205414,4.17982566215485
21.3,0.12,0.114984209204871,4.17982566260737
21.4,0.12,0.114984209204474,4.17982566293796
21.5,0.12,0.114984209204212,4.17982566315669
21.6,0.12,0.114984209204069,4.17982566327619
21.7,0.12,0.114984209204027,4.17982566331066
21.8,0.12,0.11498420920407,4.17982566327503
21.9,0.12,0.114984209204179,4.17982566318418
22,0.12,0.114984209204337,4.17982566305235
22.1,0.12,0.114984209204529,4.17982566289271
22.2,0.12,0.11498420920474,4.17982566271703
22.3,0.12,0.114984209204957,4.17982566253545
22.4,0.12,0.114984209205172,4.17982566235642
22.5,0.12,0.114984209205376,4.17982566218668
22.6,0.12,0.114984209205562,4.17982566203127
22.7,0.12,0.114984209205728,4.1798256618937
22.8,0.12,0.114984209205869,4.17982566177611
22.9,0.12,0.114984209205985,4.1798256616794
23,0.12,0.114984209206076,4.17982566160346
23.1,0.12,0.114984209206143,4.17982566154737
23.2,0.12,0.114984209206188,4.17982566150959
23.3,0.12,0.114984209206214,4.17982566148813
23.4,0.12,0.114984209206223,4.17982566148073
23.5,0.12,0.114984209206218,4.17982566148498
23.6,0.12,0.114984209206202,4.17982566149849
23.7,0.12,0.114984209206177,4.17982566151892
23.8,0.12,0.114984209206147,4.17982566154415
23.9,0.12,0.114984209206113,4.17982566157221
24,0.12,0.114984209206078,4.17982566160145
24.1,0.12,0.114984209206043,4.17982566163045
24.2,0.12,0.11498420920601,4.17982566165811
24.3,0.12,0.11498420920598,4.17982566168355
24.4,0.12,0.114984209205953,4.17982566170618
24.5,0.12,0.114984209205929,4.17982566172562
24.6,0.12,0.11498420920591,4.17982566174171
24.7,0.12,0.114984209205895,4.17982566175443
24.8,0.12,0.114984209205883,4.17982566176392
24.9,0.12,0.114984209205875,4.17982566177042
25,0.12,0.114984209205871,4.17982566177424
25.1,0.12,0.114984209205869,4.17982566177574
25.2,0.12,0.11498420920587,4.1798256617753
25.3,0.12,0.114984209205872,4.17982566177331
25.4,0.12,0.114984209205876,4.17982566177016
25.5,0.12,0.114984209205881,4.17982566176618
25.6,0.12,0.114984209205886,4.1798256617617
25.7,0.12,0.114984209205892,4.179825661757
25.8,0.12,0.114984209205897,4.1798256617523
25.9,0.12,0.114984209205903,4.1798256617478
26,0.12,0.114984209205908,4.17982566174364
26.1,0.12,0.114984209205912,4.17982566173992
26.2,0.12,0.114984209205916,4.1798256617367
26.3,0.12,0.114984209205919,4.17982566173403
26.4,0.12,0.114984209205922,4.1798256617319
26.5,0.12,0.114984209205924,4.17982566173029
26.6,0.12,0.114984209205925,4.17982566172918
26.7,0.12,0.114984209205926,4.17982566172851
26.8,0.12,0.114984209205926,4.17982566172822
26.9,0.12,0.114984209205926,4.17982566172826
27,0.12,0.114984209205926,4.17982566172855
27.1,0.12,0.114984209205925,4.17982566172903
27.2,0.12,0.114984209205924,4.17982566172966
27.3,0.12,0.114984209205924,4.17982566173037
27.4,0.12,0.114984209205923,4.17982566173113
27.5,0.12,0.114984209205922,4.17982566173189
27.6,0.12,0.114984209205921,4.17982566173262
27.7,0.12,0.11498420920592,4.1798256617333
27.8,0.12,0.114984209205919,4.17982566173391
27.9,0.12,0.114984209205919,4.17982566173445
28,0.12,0.114984209205918,4.17982566173488
28.1,0.12,0.114984209205918,4.17982566173524
28.2,0.12,0.114984209205917,4.17982566173551
28.3,0.12,0.114984209205917,4.17982566173571
28.4,0.12,0.114984209205917,4.17982566173582
28.5,0.12,0.114984209205917,4.17982566173588
28.6,0.12,0.114984209205917,4.17982566173588
28.7,0.12,0.114984209205917,4.17982566173584
28.8,0.12,0.114984209205917,4.17982566173578
28.9,0.12,0.114984209205917,4.17982566173568
29,0.12,0.114984209205917,4.17982566173557
29.1,0.12,0.114984209205917,4.17982566173545
29.2,0.12,0.114984209205918,4.17982566173532
29.3,0.12,0.114984209205918,4.17982566173521
29.4,0.12,0.114984209205918,4.17982566173509
29.5,0.12,0.114984209205918,4.17982566173499
29.6,0.12,0.114984209205918,4.1798256617349
29.7,0.12,0.114984209205918,4.17982566173483
29.8,0.12,0.114984209205918,4.17982566173477
29.9,0.12,0.114984209205918,4.17982566173472
30,0.14,0.114984209205918,17.8684219957726
30.1,0.14,0.114984209205918,17.8684219957726
30.2,0.14,0.114984209205918,17.8684219957726
30.3,0.14,0.114984209205918,17.8684219957726
30.4,0.14,0.114984209205918,17.8684219957726
30.5,0.14,0.114984209205918,17.8684219957726
30.6,0.14,0.114984209205918,17.8684219957726
30.7,0.14,0.114984209205918,17.8684219957726
30.8,0.14,0.114984209205918,17.8684219957726
30.9,0.14,0.114984209205918,17.8684219957726
31,0.14,0.114984209205918,17.8684219957727
31.1,0.14,0.114984209205918,17.8684219957727
31.2,0.14,0.114984209205918,17.8684219957727
31.3,0.14,0.114984209205918,17.8684219957727
31.4,0.14,0.114984209205918,17.8684219957727
31.5,0.14,0.114984209205918,17.8684219957727
31.6,0.14,0.114984209205918,17.8684219957727
31.7,0.14,0.114984209205918,17.8684219957727
31.8,0.14,0.114984209205918,17.8684219957727
31.9,0.14,0.114984209205918,17.8684219957727
32,0.14,0.114984209205918,17.8684219957727
32.1,0.14,0.114984209205918,17.8684219957727
32.2,0.14,0.114984209205918,17.8684219957727
32.3,0.14,0.114984209205918,17.8684219957727
32.4,0.14,0.114984209205918,17.8684219957727
32.5,0.14,0.114984209205918,17.8684219957727
32.6,0.14,0.114984209205918,17.8684219957727
32.7,0.14,0.114984209205918,17.8684219957727
32.8,0.14,0.114984209205918,17.8684219957727
32.9,0.14,0.114984209205918,17.8684219957727
33,0.14,0.114984209205918,17.8684219957727
33.1,0.14,0.114984209205918,17.8684219957727
33.2,0.14,0.114984209205918,17.8684219957727
33.3,0.14,0.114984209205918,17.8684219957727
33.4,0.14,0.114984209205918,17.8684219957727
33.5,0.14,0.114984209205918,17.8684219957727
33.6,0.14,0.114984209205918,17.8684219957727
33.7,0.14,0.114984209205918,17.8684219957727
33.8,0.14,0.114984209205918,17.8684219957727
33.9,0.14,0.114984209205918,17.8684219957727
34,0.14,0.114984209205918,17.8684219957727
34.1,0.14,0.114984209205918,17.8684219957727
34.2,0.14,0.114984209205918,17.8684219957727
34.3,0.14,0.114984209205918,17.8684219957727
34.4,0.14,0.114984209205918,17.8684219957727
34.5,0.14,0.114984209205918,17.8684219957727
34.6,0.14,0.114984209205918,17.8684219957727
34.7,0.14,0.114984209205918,17.8684219957727
34.8,0.14,0.114984209205918,17.8684219957727
34.9,0.14,0.114984209205918,17.8684219957727
35,0.14,0.114984209205918,17.8684219957727
35.1,0.14,0.114984209205918,17.8684219957727
35.2,0.14,0.114984209205918,17.8684219957727
35.3,0.14,0.114984209205918,17.8684219957727
35.4,0.14,0.114984209205918,17.8684219957727
35.5,0.14,0.114984209205918,17.8684219957727
35.6,0.14,0.114984209205918,17.8684219957727
35.7,0.14,0.114984209205918,17.8684219957727
35.8,0.14,0.114984209205918,17.8684219957727
35.9,0.14,0.114984209205918,17.8684219957727
36,0.14,0.114984209205918,17.8684219957727
36.1,0.14,0.114984209205918,17.8684219957727
36.2,0.14,0.114984209205918,17.8684219957727
36.3,0.14,0.114984209205918,17.8684219957727
36.4,0.14,0.114984209205918,17.8684219957727
36.5,0.14,0.114984209205918,17.8684219957727
36.6,0.14,0.114984209205918,17.8684219957727
36.7,0.14,0.114984209205918,17.8684219957727
36.8,0.14,0.114984209205918,17.8684219957727
36.9,0.14,0.114984209205918,17.8684219957727
37,0.14,0.114984209205918,17.8684219957727
37.1,0.14,0.114984209205918,17.8684219957727
37.2,0.14,0.114984209205918,17.8684219957727
37.3,0.14,0.114984209205918,17.8684219957727
37.4,0.14,0.114984209205918,17.8684219957727
37.5,0.14,0.114984209205918,17.8684219957727
